week,visits,unique_visitors,total_pages,total_time_hours,political_score,quality_index,ad_total_size_pct
2022-W01,461697,343886,1365998.000043358,376199.1052777778,6.122448979591837,-0.04210852083333333,124.65
2022-W02,632373,430606,1396090.000058734,279630.9852777778,0.0,-0.004814512195121948,69.04
2022-W03,403239,291304,991928.000061495,244850.7791666667,5.882352941176471,0.19097862790697673,96.03
2022-W04,381635,257715,830436.000014317,164839.6316666667,-7.142857142857142,-0.1394847234042553,3.7699999999999996
2022-W05,405124,258991,752910.999978298,110253.6069444444,2.5,-0.22434500000000002,44.78
2022-W06,722900,467762,1624184.000110759,315143.7766666667,9.45945945945946,-0.019902239999999995,55.47
2022-W07,583765,378164,1680958.99993381,335668.0847222222,9.523809523809526,0.01481375,171.62
2022-W08,707267,442469,1644845.999965722,309039.5547222222,-1.6666666666666667,-0.07783532608695652,114.59
2022-W09,654731,392744,1620051.999968748,296205.7808333333,1.7857142857142865,-0.02907782978723404,53.25
2022-W10,355198,258250,778195.999993574,143492.9569444444,2.7777777777777777,0.10349614545454544,36.410000000000004
2022-W11,531397,315075,1159714.000024431,147724.8125,0.0,-0.084279925,114.13
2022-W12,502464,321553,1198328.0000617,191000.2358333333,1.5625,0.1008012380952381,34.27
2022-W13,396187,248483,981838.000008814,140797.9019444445,5.357142857142858,0.03581555263157894,83.59
2022-W14,345935,230196,1023542.00002823,167498.3019444445,-1.6129032258064515,0.111249,58.870000000000005
2022-W15,515079,305274,1367044.999955675,237636.0516666667,0.0,0.018749368421052636,123.71000000000001
2022-W16,576389,353440,1318731.999992658,170032.6286111111,0.0,0.013708170731707318,15.36
2022-W17,594334,321431,1240605.999984783,197513.2483333333,-2.631578947368421,0.029613736842105266,16.0
2022-W18,460206,241452,1144233.999994993,160606.0327777778,3.846153846153846,-0.037927886792452827,89.07
2022-W19,583580,317197,1327023.000120829,182899.9955555556,4.545454545454546,-0.0660227659574468,20.58
2022-W20,483459,259453,1226018.999892095,193154.2322222222,3.571428571428571,-0.07839628888888889,124.03
2022-W21,388444,249314,835817.999944598,142406.1591666667,-1.1363636363636358,0.058894,204.51
2022-W22,312948,204811,885580.999980466,146710.1497222222,4.166666666666667,0.05601514583333333,132.98
2022-W23,437439,269198,1154363.000027506,151016.9586111111,-16.666666666666664,-0.045352880000000005,96.57
2022-W24,420880,252173,1132291.00002045,181852.1494444445,-2.0,0.04341243396226415,90.53999999999999
2022-W25,486266,254416,1296502.999951303,185190.505,-8.333333333333334,0.0938848780487805,127.89999999999999
2022-W26,517229,262392,1321056.999978813,168977.5911111111,13.75,0.0007910250000000063,5.73
2022-W27,453833,249912,1253592.999999782,263823.9213888889,4.411764705882353,-0.02914238461538462,22.45
2022-W28,414264,249589,1184526.000020205,172602.0527777778,-3.333333333333333,-0.005677090909090915,46.42
2022-W29,451492,274878,1049063.000038737,130084.4430555556,7.142857142857142,0.2045111785714286,140.36
2022-W30,368613,231093,857104.999997232,122915.1152777778,13.636363636363637,-0.07924005128205128,128.39
2022-W31,573223,304395,1301556.000030792,218567.3744444444,-3.571428571428571,-0.011056081632653052,43.58
2022-W32,602911,348773,1284851.999924062,175623.0994444444,7.142857142857143,0.05133105405405405,62.25
2022-W33,492075,269011,1266825.999985646,377934.3808333334,3.8461538461538463,0.0975549090909091,104.73
2022-W34,368925,227613,776850.000059163,100167.6277777778,-7.8125,0.014252153846153838,73.9
2022-W35,326637,210644,775638.000004421,140567.2891666667,-6.666666666666667,-0.055136902439024395,20.63
2022-W36,345599,213914,804981.000011322,127027.3725,3.5714285714285703,0.00969736956521739,40.81
